ECG,ECG_Filtered
500.000,0.00055
500.000,0.00137
500.000,0.00136
500.000,0.00091
500.000,0.00043
500.000,0.00004
500.000,-0.00016
500.000,-0.00022
500.000,-0.00019
498.045,-0.00566
460.899,-0.09800
417.889,0.02059
360.215,0.05624
260.997,-0.02549
146.139,0.05085
0.80645,0.25656
0.71848,0.18484
0.76735,-0.15334
0.47410,-0.41518
0.02933,-0.24969
0.00000,0.15130
0.00000,0.14214
0.00000,0.06294
0.00000,0.01944
0.13685,0.04680
229.228,0.56793
418.866,-0.28495
448.680,-0.95906
350.440,-0.51919
296.188,0.63554
193.548,0.61519
0.20528,0.24588
0.00000,0.63085
0.21505,0.02239
186.706,-0.15298
385.630,-0.65195
498.045,-0.99166
499.511,-0.62275
447.214,0.22141
302.542,0.55487
158.358,0.84235
0.89932,0.81227
103.128,0.30274
0.82600,-0.58326
0.35191,-0.76101
0.00000,-0.36871
0.00000,0.03722
0.00000,0.07888
0.00000,0.07740
0.23460,0.14779
141.740,0.32635
409.091,0.33959
500.000,-0.88071
499.511,-0.63999
499.511,0.24415
397.849,0.30095
384.653,0.80363
416.911,0.46672
479.961,-0.07985
499.022,-0.59758
499.511,-0.48540
474.585,-0.20423
408.113,0.00182
347.996,0.28410
288.856,0.28018
260.997,0.22277
279.081,0.09200
331.378,-0.11337
360.704,-0.37182
343.597,-0.36523
230.205,-0.25832
0.35679,0.08059
0.00000,0.99412
0.00000,0.46298
0.00000,-0.23437
0.00000,-0.47421
0.00000,-0.36583
0.92375,0.12071
176.931,-0.06247
184.262,-0.30975
196.970,0.08112
120.723,0.02282
0.20528,0.26153
0.50342,0.73606
456.989,116.685
500.000,-170.921
500.000,-113.254
344.086,-0.40602
0.42033,0.31582
0.00000,183.106
0.00000,0.82494
0.39101,-0.25114
189.150,-0.51773
0.49365,-167.172
0.00000,-0.11860
0.00000,0.60257
0.00000,0.44133
0.00000,0.16854
0.00000,-0.00329
0.00000,-0.06594
0.43011,0.05819
415.933,0.85797
500.000,-124.225
499.022,-0.88343
499.511,0.21329
499.511,0.67196
500.000,0.56607
500.000,0.23537
500.000,-0.05443
500.000,-0.20479
500.000,-0.22291
500.000,-0.16168
491.202,-0.10164
301.564,-0.50988
0.22483,-0.02869
0.00000,133.226
0.00000,0.42688
0.00000,-0.42915
0.00000,-0.63508
0.00978,-0.41822
0.66960,0.07768
120.235,0.02465
120.235,-0.09234
122.678,0.16468
150.049,0.32780
151.515,0.09400
175.953,0.09285
203.812,-0.02577
228.739,-0.11589
239.492,-0.14764
260.997,-0.01714
281.525,0.00894
310.362,0.03782
338.221,0.00273
358.749,-0.03090
360.215,-0.05341
323.069,-0.07115
271.261,0.06294
224.340,0.16997
182.307,0.12202
156.892,0.04693
148.583,-0.04586
147.116,-0.13368
148.583,-0.14130
143.695,-0.10530
182.307,0.11931
242.424,0.08459
294.233,-0.07302
348.974,-0.05464
392.473,-0.03446
