CON,ECG,ECG_Filtered,ZERO
-1.00,1.64,-0.08,-0.00
-1.00,1.49,-0.09,-0.00
-1.00,1.67,0.10,0.00
-1.00,1.56,-0.05,-0.00
-1.00,1.72,0.08,0.00
-1.00,1.58,-0.06,-0.00
-1.00,1.68,0.07,0.00
-1.00,1.53,-0.04,-0.00
-1.00,1.72,0.10,0.00
-1.00,1.68,-0.06,-0.00
-1.00,1.90,0.04,0.00
-1.00,1.84,-0.10,-0.00
-1.00,1.98,0.03,0.00
-1.00,1.92,-0.04,-0.00
-1.00,2.12,0.09,0.00
-1.00,2.00,-0.07,-0.00
-1.00,2.13,0.06,0.00
-1.00,1.98,-0.06,-0.00
-1.00,2.11,0.08,0.00
-1.00,1.94,-0.07,-0.00
-1.00,2.03,0.06,0.00
-1.00,1.85,-0.07,-0.00
-1.00,1.92,0.06,0.00
-1.00,1.74,-0.06,-0.00
-1.00,1.83,0.06,0.00
-1.00,1.67,-0.07,-0.00
-1.00,1.78,0.06,0.00
-1.00,1.63,-0.07,-0.00
-1.00,1.72,0.05,0.00
-1.00,1.55,-0.06,-0.00
-1.00,1.66,0.08,0.00
-1.00,1.53,-0.05,-0.00
-1.00,1.70,0.07,0.00
-1.00,1.61,-0.08,-0.00
-1.00,1.77,0.05,0.00
-1.00,1.69,-0.07,-0.00
-1.00,1.85,0.06,0.00
-1.00,1.74,-0.06,-0.00
-1.00,1.89,0.07,0.00
-1.00,1.77,-0.06,-0.00
-1.00,1.90,0.07,0.00
-1.00,1.75,-0.06,-0.00
-1.00,1.88,0.07,0.00
-1.00,1.77,-0.06,-0.00
-1.00,1.91,0.06,0.00
-1.00,1.80,-0.07,-0.00
-1.00,1.93,0.05,0.00
-1.00,1.80,-0.06,-0.00
-1.00,1.95,0.07,0.00
-1.00,1.86,-0.06,-0.00
-1.00,1.99,0.05,0.00
-1.00,1.88,-0.07,-0.00
-1.00,2.04,0.07,0.00
-1.00,1.93,-0.07,-0.00
-1.00,2.04,0.06,0.00
-1.00,1.89,-0.06,-0.00
-1.00,2.01,0.08,0.00
-1.00,1.88,-0.06,-0.00
-1.00,2.00,0.06,0.00
-1.00,1.86,-0.07,-0.00
-1.00,1.99,0.07,0.00
-1.00,1.80,-0.09,-0.00
-1.00,1.86,0.06,0.00
-1.00,1.70,-0.04,-0.00
-1.00,1.82,0.08,0.00
-1.00,1.69,-0.07,-0.00
-1.00,1.82,0.05,0.00
-1.00,1.69,-0.08,-0.00
-1.00,1.82,0.06,0.00
-1.00,1.72,-0.05,-0.00
-1.00,1.88,0.07,0.00
-1.00,1.76,-0.07,-0.00
-1.00,1.89,0.06,0.00
-1.00,1.81,-0.04,-0.00
-1.00,1.93,0.05,0.00
-1.00,1.76,-0.07,-0.00
-1.00,1.87,0.08,0.00
-1.00,1.71,-0.06,-0.00
-1.00,1.80,0.07,0.00
-1.00,1.66,-0.06,-0.00
-1.00,1.78,0.06,0.00
-1.00,1.66,-0.07,-0.00
-1.00,1.80,0.05,0.00
-1.00,1.65,-0.08,-0.00
-1.00,1.83,0.09,0.00
-1.00,2.20,0.07,0.00
-1.00,2.58,-0.06,-0.00
-1.00,2.28,-0.28,-0.02
-1.00,1.77,-0.05,-0.00
-1.00,1.44,0.24,0.01
-1.00,1.64,0.34,0.04
-1.00,1.58,-0.06,-0.00
-1.00,1.73,-0.10,-0.00
-1.00,1.64,-0.20,-0.01
-1.00,1.81,-0.01,-0.00
-1.00,1.73,-0.07,-0.00
-1.00,1.89,0.09,0.00
-1.00,1.80,-0.02,-0.00
-1.00,1.98,0.11,0.00
-1.00,1.88,-0.05,-0.00
-1.00,2.03,0.07,0.00
-1.00,1.94,-0.06,-0.00
-1.00,2.10,0.06,0.00
-1.00,1.99,-0.08,-0.00
-1.00,2.15,0.06,0.00
-1.00,2.06,-0.06,-0.00
-1.00,2.21,0.06,0.00
-1.00,2.10,-0.07,-0.00
-1.00,2.22,0.06,0.00
-1.00,2.07,-0.06,-0.00
-1.00,2.15,0.07,0.00
-1.00,1.96,-0.05,-0.00
-1.00,1.96,0.06,0.00
-1.00,1.74,-0.05,-0.00
-1.00,1.80,0.08,0.00
-1.00,1.64,-0.06,-0.00
-1.00,1.72,0.04,0.00
-1.00,1.56,-0.08,-0.00
-1.00,1.66,0.05,0.00
-1.00,1.52,-0.06,-0.00
-1.00,1.69,0.08,0.00
-1.00,1.61,-0.06,-0.00
