Con,Ecg,ecg_filtered,ecg_pow,ecg_pow100
-1.00,1.76,-0.05,-0.00,-0.13
-1.00,1.86,0.04,0.00,0.06
-1.00,1.84,-0.03,-0.00,-0.03
-1.00,1.92,0.02,0.00,0.01
-1.00,1.84,-0.04,-0.00,-0.07
-1.00,1.92,0.05,0.00,0.12
-1.00,1.83,-0.03,-0.00,-0.04
-1.00,1.91,0.05,0.00,0.10
-1.00,1.83,-0.04,-0.00,-0.06
-1.00,1.88,0.03,0.00,0.03
-1.00,1.79,-0.04,-0.00,-0.06
-1.00,1.90,0.05,0.00,0.15
-1.00,1.83,-0.05,-0.00,-0.12
-1.00,1.87,0.01,0.00,0.00
-1.00,1.67,-0.06,-0.00,-0.25
-1.00,1.70,0.08,0.00,0.53
-1.00,1.62,0.00,0.00,0.00
-1.00,1.71,0.04,0.00,0.06
-1.00,1.62,-0.07,-0.00,-0.32
-1.00,1.72,0.02,0.00,0.01
-1.00,1.66,-0.05,-0.00,-0.14
-1.00,1.74,0.03,0.00,0.04
-1.00,1.66,-0.04,-0.00,-0.05
-1.00,2.06,0.14,0.00,2.92
-1.00,2.57,0.02,0.00,0.00
-1.00,2.59,-0.24,-0.01,-14.03
-1.00,1.89,-0.26,-0.02,-17.77
-1.00,1.45,0.22,0.01,10.68
-1.00,1.41,0.38,0.05,54.35
-1.00,1.60,0.16,0.00,4.35
-1.00,1.53,-0.20,-0.01,-8.32
-1.00,1.62,-0.15,-0.00,-3.72
-1.00,1.53,-0.15,-0.00,-3.67
-1.00,1.62,0.02,0.00,0.01
-1.00,1.54,-0.00,-0.00,-0.00
-1.00,1.65,0.10,0.00,0.87
-1.00,1.58,-0.00,-0.00,-0.00
-1.00,1.70,0.07,0.00,0.31
-1.00,1.59,-0.05,-0.00,-0.15
-1.00,1.68,0.05,0.00,0.10
-1.00,1.60,-0.04,-0.00,-0.05
-1.00,1.73,0.05,0.00,0.09
-1.00,1.73,-0.04,-0.00,-0.07
-1.00,1.85,0.01,0.00,0.00
-1.00,1.81,-0.06,-0.00,-0.22
-1.00,1.89,0.03,0.00,0.03
-1.00,1.88,-0.01,-0.00,-0.00
-1.00,1.99,0.04,0.00,0.08
-1.00,1.93,-0.04,-0.00,-0.07
-1.00,1.99,0.03,0.00,0.03
-1.00,1.86,-0.04,-0.00,-0.09
-1.00,1.83,0.04,0.00,0.07
-1.00,1.64,-0.02,-0.00,-0.01
-1.00,1.61,0.06,0.00,0.20
-1.00,1.45,-0.03,-0.00,-0.02
-1.00,1.46,0.04,0.00,0.05
-1.00,1.36,-0.05,-0.00,-0.11
-1.00,1.45,0.02,0.00,0.01
-1.00,1.37,-0.07,-0.00,-0.34
-1.00,1.46,0.03,0.00,0.03
-1.00,1.40,-0.04,-0.00,-0.05
-1.00,1.51,0.05,0.00,0.14
-1.00,1.46,-0.03,-0.00,-0.02
-1.00,1.56,0.05,0.00,0.09
-1.00,1.49,-0.04,-0.00,-0.06
-1.00,1.61,0.05,0.00,0.14
-1.00,1.55,-0.04,-0.00,-0.07
-1.00,1.67,0.04,0.00,0.05
-1.00,1.60,-0.05,-0.00,-0.13
-1.00,1.69,0.04,0.00,0.05
-1.00,1.59,-0.04,-0.00,-0.08
-1.00,1.66,0.05,0.00,0.11
-1.00,1.56,-0.03,-0.00,-0.03
-1.00,1.64,0.05,0.00,0.10
-1.00,1.57,-0.04,-0.00,-0.06
-1.00,1.60,0.01,0.00,0.00
-1.00,1.51,-0.03,-0.00,-0.03
-1.00,1.64,0.06,0.00,0.25
-1.00,1.57,-0.06,-0.00,-0.17
-1.00,1.67,0.03,0.00,0.02
-1.00,1.61,-0.05,-0.00,-0.10
-1.00,1.70,0.04,0.00,0.06
-1.00,1.62,-0.04,-0.00,-0.04
-1.00,1.70,0.05,0.00,0.11
