TIME,ECG,ECG_Filtered
1769948,4.00293,1.13469
1771904,3.92473,-1.52393
1773908,3.84164,-0.63817
1783024,3.46041,0.22585
1809028,2.04790,0.34571
1835040,0.60606,0.61486
1861040,0.00978,0.71200
1887000,0.00000,0.21027
1913040,0.06843,-0.42094
1940040,0.00000,-0.65304
1967124,0.00489,-0.40372
1994124,0.00000,-0.11944
2021164,0.00000,0.09410
2047160,0.00000,0.18534
2073156,0.00000,0.17910
2099160,0.00000,0.12110
2125164,0.00000,0.05255
2151204,0.00489,0.00028
2177168,0.00000,-0.03398
2204200,0.00000,-0.03766
2231236,0.00000,-0.03141
2258312,0.16618,0.02700
2284312,0.62561,0.05915
2310320,0.94330,-0.10939
2337352,1.16325,-0.11454
2364396,1.30987,-0.02867
2391436,1.55914,0.09482
2417440,2.20430,0.19012
2443444,2.60508,-0.07275
2470476,4.15933,0.24815
2496476,4.96579,-0.34437
2523512,5.00000,-0.42913
2550556,4.99511,0.06663
2576560,4.99511,0.31958
2602556,4.99511,0.27515
2628556,4.99511,0.10891
2654556,4.99511,-0.03996
2681596,5.00000,-0.11363
2708644,4.99511,-0.12309
2735676,5.00000,-0.08105
2762724,5.00000,-0.03687
2789768,5.00000,0.00175
2815760,5.00000,0.02387
2841764,5.00000,0.02983
2867760,5.00000,0.02505
2893760,5.00000,0.01570
2919764,5.00000,0.00651
2945764,5.00000,-0.00010
2972808,5.00000,-0.00348
2999840,5.00000,-0.00428
3026884,4.99511,-0.00487
3053928,5.00000,0.00113
3079928,5.00000,-0.00180
3106972,5.00000,-0.00101
3134008,5.00000,0.00018
3160008,5.00000,0.00080
3186008,5.00000,0.00082
3212012,5.00000,0.00056
3238016,5.00000,0.00023
3264004,4.37439,-0.17738
3291044,1.28055,-0.64244
3318084,0.01955,0.90372
3344036,0.00000,0.91977
3370044,0.00000,-0.10720
3397076,0.00000,-0.61877
3424120,0.00000,-0.56200
3451172,0.00000,-0.25846
3478204,0.00000,0.03001
3504208,0.00000,0.18967
