 Time; ECG; ECG_filtered; ...
 19:26:33 ;1,7;1,07;
 19:26:33 ;1,86;1,63;
 19:26:33 ;2,37;2,15;
 19:26:33 ;2,91;2,68;
 19:26:33 ;3,19;3,04;
 19:26:33 ;3,33;3,24;
 19:26:33 ;3,19;3,21;
 19:26:33 ;2,67;2,83;
 19:26:33 ;2,18;2,38;
 19:26:33 ;1,73;1,92;
 19:26:33 ;1,37;1,53;
 19:26:33 ;1,21;1,31;
 19:26:33 ;1,31;1,31;
 19:26:33 ;1,56;1,49;
 19:26:33 ;1,96;1,82;
 19:26:33 ;2,43;2,25;
 19:26:33 ;2,96;2,75;
 19:26:33 ;3,29;3,13;
 19:26:33 ;3,48;3,37;
 19:26:33 ;3,29;3,32;
 19:26:34 ;3,09;3,16;
 19:26:34 ;1,9;2,28;
 19:26:34 ;1,63;1,82;
 19:26:34 ;1,32;1,47;
 19:26:34 ;1,26;1,32;
 19:26:34 ;1,46;1,42;
 19:26:34 ;1,86;1,73;
 19:26:34 ;2,26;2,1;
 19:26:34 ;2,56;2,42;
 19:26:34 ;3;2,83;
 19:26:34 ;3,36;3,2;
 19:26:34 ;3,34;3,3;
 19:26:34 ;3;3,09;
 19:26:34 ;2,45;2,64;
 19:26:34 ;1,85;2,09;
 19:26:34 ;1,41;1,61;
 19:26:34 ;1,21;1,33;
 19:26:34 ;1,27;1,28;
 19:26:34 ;1,51;1,44;
 19:26:34 ;1,86;1,74;
 19:26:34 ;2,38;2,18;
 19:26:34 ;2,81;2,62;
 19:26:34 ;3,15;2,99;
 19:26:34 ;3,35;3,24;
 19:26:34 ;3,57;3,47;
 19:26:34 ;2,51;2,8;
 19:26:34 ;2,23;2,4;
 19:26:35 ;1,72;1,92;
 19:26:35 ;1,38;1,54;
 19:26:35 ;1,3;1,38;
 19:26:35 ;1,49;1,45;
 19:26:35 ;1,75;1,66;
 19:26:35 ;2,02;1,92;
 19:26:35 ;2,46;2,3;
 19:26:35 ;2,98;2,78;
 19:26:35 ;3,38;3,2;
 19:26:35 ;3,4;3,34;
 19:26:35 ;2,9;3,01;
 19:26:35 ;3,3;3,22;
 19:26:35 ;3,41;3,35;
 19:26:35 ;3,16;3,22;
 19:26:35 ;2,71;2,86;
 19:26:35 ;2,14;2,35;
 19:26:35 ;1,69;1,89;
 19:26:35 ;1,29;1,47;
 19:26:35 ;1,18;1,27;
 19:26:35 ;1,34;1,32;
 19:26:35 ;1,42;1,4;
 19:26:35 ;1,04;1,14;
 19:26:35 ;1,3;1,25;
 19:26:35 ;1,6;1,5;
 19:26:35 ;1,83;1,73;
 19:26:36 ;2,37;2,18;
 19:26:36 ;2,95;2,72;
 19:26:36 ;3,13;3,01;
 19:26:36 ;3,01;3,01;
 19:26:36 ;2,62;2,72;
 19:26:36 ;3,15;3,02;
 19:26:36 ;2,18;2,4;
 19:26:36 ;2,69;2,6;
 19:26:36 ;3,17;3;
 19:26:36 ;3,46;3,32;
 19:26:36 ;3,38;3,36;
 19:26:36 ;2,97;3,09;
 19:26:36 ;3,39;3,32;
 19:26:36 ;3,3;3,3;
 19:26:36 ;3,02;3,1;
 19:26:36 ;2,42;2,62;
 19:26:36 ;1,65;1,94;
 19:26:36 ;1,25;1,45;
 19:26:36 ;1,47;1,46;
 19:26:36 ;1,79;1,71;
 19:26:36 ;1,54;1,59;
 19:26:36 ;1,29;1,38;
 19:26:36 ;1,28;1,31;
 19:26:36 ;1,52;1,46;
 19:26:36 ;1,96;1,81;
 19:26:36 ;2,31;2,16;
 19:26:37 ;2,54;2,43;
 19:26:37 ;3,12;2,91;
 19:26:37 ;3,47;3,3;
